triplet;kappa;theta;sigma;rho;price;err;exec_time
245;1.0000;0.0900;0.2000;-0.7500;0.120729;0.001712;1.34
246;1.0000;0.0900;0.2200;-0.7500;0.120805;0.001694;1.34
247;1.0000;0.0900;0.2400;-0.7500;0.118734;0.001661;1.34
248;1.0000;0.0900;0.2600;-0.7500;0.119268;0.001647;1.34
249;1.0000;0.0900;0.2800;-0.7500;0.118358;0.001633;1.34
250;1.0000;0.1000;0.1000;-0.7500;0.123583;0.001843;1.34
251;1.0000;0.1000;0.1200;-0.7500;0.124365;0.001833;1.34
252;1.0000;0.1000;0.1400;-0.7500;0.124819;0.001818;1.34
253;1.0000;0.1000;0.1600;-0.7500;0.122823;0.001784;1.34
254;1.0000;0.1000;0.1800;-0.7500;0.122015;0.001762;1.34
255;1.0000;0.1000;0.2000;-0.7500;0.123695;0.001765;1.34
256;1.0000;0.1000;0.2200;-0.7500;0.122037;0.001728;1.34
257;1.0000;0.1000;0.2400;-0.7500;0.120564;0.001692;1.34
258;1.0000;0.1000;0.2600;-0.7500;0.121423;0.001687;1.34
259;1.0000;0.1000;0.2800;-0.7500;0.121652;0.001684;1.34
260;1.0000;0.1100;0.1000;-0.7500;0.126915;0.001895;1.34
261;1.0000;0.1100;0.1200;-0.7500;0.126281;0.001867;1.34
262;1.0000;0.1100;0.1400;-0.7500;0.125351;0.001842;1.34
263;1.0000;0.1100;0.1600;-0.7500;0.124826;0.001823;1.34
264;1.0000;0.1100;0.1800;-0.7500;0.125359;0.001806;1.34
265;1.0000;0.1100;0.2000;-0.7500;0.125784;0.001796;1.34
266;1.0000;0.1100;0.2200;-0.7500;0.123785;0.001762;1.34
267;1.0000;0.1100;0.2400;-0.7500;0.123978;0.001747;1.34
268;1.0000;0.1100;0.2600;-0.7500;0.123621;0.001735;1.34
269;1.0000;0.1100;0.2800;-0.7500;0.123913;0.001716;1.34
270;1.0000;0.1200;0.1000;-0.7500;0.128090;0.001926;1.34
271;1.0000;0.1200;0.1200;-0.7500;0.128972;0.001915;1.34
272;1.0000;0.1200;0.1400;-0.7500;0.128406;0.001890;1.34
273;1.0000;0.1200;0.1600;-0.7500;0.127643;0.001864;1.34
274;1.0000;0.1200;0.1800;-0.7500;0.128619;0.001856;1.34
275;1.0000;0.1200;0.2000;-0.7500;0.128451;0.001839;1.34
276;1.0000;0.1200;0.2200;-0.7500;0.126578;0.001805;1.34
277;1.0000;0.1200;0.2400;-0.7500;0.126381;0.001790;1.34
278;1.0000;0.1200;0.2600;-0.7500;0.124892;0.001757;1.34
279;1.0000;0.1200;0.2800;-0.7500;0.126758;0.001766;1.34
280;1.0000;0.1300;0.1000;-0.7500;0.131779;0.001985;1.34
281;1.0000;0.1300;0.1200;-0.7500;0.131308;0.001952;1.34
282;1.0000;0.1300;0.1400;-0.7500;0.129531;0.001919;1.34
283;1.0000;0.1300;0.1600;-0.7500;0.131251;0.001908;1.34
284;1.0000;0.1300;0.1800;-0.7500;0.131801;0.001908;1.34
285;1.0000;0.1300;0.2000;-0.7500;0.130088;0.001871;1.34
286;1.0000;0.1300;0.2200;-0.7500;0.130221;0.001854;1.34
287;1.0000;0.1300;0.2400;-0.7500;0.129272;0.001843;1.34
288;1.0000;0.1300;0.2600;-0.7500;0.127572;0.001809;1.34
289;1.0000;0.1300;0.2800;-0.7500;0.128562;0.001799;1.34
290;1.0000;0.1400;0.1000;-0.7500;0.132218;0.002017;1.34
291;1.0000;0.1400;0.1200;-0.7500;0.132823;0.001997;1.34
292;1.0000;0.1400;0.1400;-0.7500;0.132656;0.001969;1.34
293;1.0000;0.1400;0.1600;-0.7500;0.131220;0.001938;1.34
294;1.0000;0.1400;0.1800;-0.7500;0.131168;0.001916;1.34
295;1.0000;0.1400;0.2000;-0.7500;0.132411;0.001922;1.34
296;1.0000;0.1400;0.2200;-0.7500;0.132725;0.001903;1.34
297;1.0000;0.1400;0.2400;-0.7500;0.130516;0.001874;1.34
298;1.0000;0.1400;0.2600;-0.7500;0.131934;0.001859;1.34
299;1.0000;0.1400;0.2800;-0.7500;0.130133;0.001829;1.34
300;1.2500;0.0500;0.1000;-0.6500;0.110165;0.001620;1.34
301;1.2500;0.0500;0.1200;-0.6500;0.109640;0.001605;1.34
302;1.2500;0.0500;0.1400;-0.6500;0.110370;0.001592;1.34
303;1.2500;0.0500;0.1600;-0.6500;0.109539;0.001569;1.34
304;1.2500;0.0500;0.1800;-0.6500;0.109321;0.001556;1.34
305;1.2500;0.0500;0.2000;-0.6500;0.109073;0.001541;1.34
306;1.2500;0.0500;0.2200;-0.6500;0.107670;0.001520;1.34
307;1.2500;0.0500;0.2400;-0.6500;0.108101;0.001510;1.34
308;1.2500;0.0500;0.2600;-0.6500;0.108234;0.001493;1.34
309;1.2500;0.0500;0.2800;-0.6500;0.107187;0.001477;1.34
310;1.2500;0.0600;0.1000;-0.6500;0.113529;0.001677;1.34
311;1.2500;0.0600;0.1200;-0.6500;0.112701;0.001647;1.34
312;1.2500;0.0600;0.1400;-0.6500;0.114114;0.001653;1.34
313;1.2500;0.0600;0.1600;-0.6500;0.112637;0.001626;1.34
314;1.2500;0.0600;0.1800;-0.6500;0.111488;0.001599;1.34
315;1.2500;0.0600;0.2000;-0.6500;0.111498;0.001580;1.34
316;1.2500;0.0600;0.2200;-0.6500;0.111183;0.001572;1.34
317;1.2500;0.0600;0.2400;-0.6500;0.111223;0.001566;1.34
318;1.2500;0.0600;0.2600;-0.6500;0.109491;0.001533;1.34
319;1.2500;0.0600;0.2800;-0.6500;0.109966;0.001531;1.34
320;1.2500;0.0700;0.1000;-0.6500;0.116782;0.001735;1.34
321;1.2500;0.0700;0.1200;-0.6500;0.116035;0.001708;1.34
322;1.2500;0.0700;0.1400;-0.6500;0.115845;0.001691;1.34
323;1.2500;0.0700;0.1600;-0.6500;0.116112;0.001680;1.34
324;1.2500;0.0700;0.1800;-0.6500;0.115509;0.001663;1.34
325;1.2500;0.0700;0.2000;-0.6500;0.114109;0.001630;1.34
326;1.2500;0.0700;0.2200;-0.6500;0.114508;0.001621;1.34
327;1.2500;0.0700;0.2400;-0.6500;0.112744;0.001599;1.34
328;1.2500;0.0700;0.2600;-0.6500;0.113453;0.001599;1.34
329;1.2500;0.0700;0.2800;-0.6500;0.114431;0.001592;1.34
330;1.2500;0.0800;0.1000;-0.6500;0.118446;0.001768;1.34
331;1.2500;0.0800;0.1200;-0.6500;0.117655;0.001742;1.34
332;1.2500;0.0800;0.1400;-0.6500;0.118771;0.001732;1.34
333;1.2500;0.0800;0.1600;-0.6500;0.117624;0.001712;1.34
334;1.2500;0.0800;0.1800;-0.6500;0.118286;0.001711;1.34
335;1.2500;0.0800;0.2000;-0.6500;0.117448;0.001687;1.34
336;1.2500;0.0800;0.2200;-0.6500;0.116208;0.001667;1.34
337;1.2500;0.0800;0.2400;-0.6500;0.116932;0.001664;1.34
338;1.2500;0.0800;0.2600;-0.6500;0.116568;0.001648;1.34
339;1.2500;0.0800;0.2800;-0.6500;0.116065;0.001629;1.34
340;1.2500;0.0900;0.1000;-0.6500;0.121016;0.001806;1.34
341;1.2500;0.0900;0.1200;-0.6500;0.123311;0.001824;1.34
342;1.2500;0.0900;0.1400;-0.6500;0.121332;0.001790;1.34
343;1.2500;0.0900;0.1600;-0.6500;0.121889;0.001778;1.34
344;1.2500;0.0900;0.1800;-0.6500;0.120923;0.001759;1.34
345;1.2500;0.0900;0.2000;-0.6500;0.121238;0.001749;1.34
346;1.2500;0.0900;0.2200;-0.6500;0.118717;0.001716;1.34
347;1.2500;0.0900;0.2400;-0.6500;0.120307;0.001718;1.34
348;1.2500;0.0900;0.2600;-0.6500;0.119295;0.001691;1.34
349;1.2500;0.0900;0.2800;-0.6500;0.119266;0.001684;1.34
350;1.2500;0.1000;0.1000;-0.6500;0.125081;0.001875;1.34
351;1.2500;0.1000;0.1200;-0.6500;0.124461;0.001857;1.34
352;1.2500;0.1000;0.1400;-0.6500;0.123659;0.001829;1.34
353;1.2500;0.1000;0.1600;-0.6500;0.123482;0.001820;1.34
354;1.2500;0.1000;0.1800;-0.6500;0.123563;0.001809;1.34
355;1.2500;0.1000;0.2000;-0.6500;0.122013;0.001777;1.34
356;1.2500;0.1000;0.2200;-0.6500;0.122290;0.001773;1.34
357;1.2500;0.1000;0.2400;-0.6500;0.122551;0.001754;1.34
358;1.2500;0.1000;0.2600;-0.6500;0.122111;0.001735;1.34
359;1.2500;0.1000;0.2800;-0.6500;0.122628;0.001735;1.34
360;1.2500;0.1100;0.1000;-0.6500;0.127084;0.001918;1.34
361;1.2500;0.1100;0.1200;-0.6500;0.127225;0.001906;1.34
362;1.2500;0.1100;0.1400;-0.6500;0.126138;0.001885;1.34
363;1.2500;0.1100;0.1600;-0.6500;0.126691;0.001868;1.34
364;1.2500;0.1100;0.1800;-0.6500;0.125671;0.001853;1.34
365;1.2500;0.1100;0.2000;-0.6500;0.124757;0.001824;1.34
366;1.2500;0.1100;0.2200;-0.6500;0.126073;0.001831;1.34
367;1.2500;0.1100;0.2400;-0.6500;0.125680;0.001809;1.34
368;1.2500;0.1100;0.2600;-0.6500;0.125095;0.001794;1.34
369;1.2500;0.1100;0.2800;-0.6500;0.124231;0.001777;1.34
370;1.2500;0.1200;0.1000;-0.6500;0.130085;0.001967;1.34
371;1.2500;0.1200;0.1200;-0.6500;0.129791;0.001950;1.34
372;1.2500;0.1200;0.1400;-0.6500;0.130324;0.001939;1.34
373;1.2500;0.1200;0.1600;-0.6500;0.128506;0.001912;1.34
