triplet;kappa;theta;sigma;rho;price;err;exec_time
213;1.0000;0.0600;0.1600;-0.7500;0.110929;0.001585;110.94
214;1.0000;0.0600;0.1800;-0.7500;0.110789;0.001568;110.94
215;1.0000;0.0600;0.2000;-0.7500;0.109443;0.001546;110.94
216;1.0000;0.0600;0.2200;-0.7500;0.108795;0.001522;110.94
217;1.0000;0.0600;0.2400;-0.7500;0.107851;0.001500;110.94
218;1.0000;0.0600;0.2600;-0.7500;0.109112;0.001501;110.94
219;1.0000;0.0600;0.2800;-0.7500;0.109098;0.001487;110.94
220;1.0000;0.0700;0.1000;-0.7500;0.117399;0.001726;110.94
221;1.0000;0.0700;0.1200;-0.7500;0.117600;0.001710;110.94
222;1.0000;0.0700;0.1400;-0.7500;0.116802;0.001683;110.94
223;1.0000;0.0700;0.1600;-0.7500;0.114683;0.001643;110.94
224;1.0000;0.0700;0.1800;-0.7500;0.114998;0.001627;110.94
225;1.0000;0.0700;0.2000;-0.7500;0.111621;0.001585;110.94
226;1.0000;0.0700;0.2200;-0.7500;0.111864;0.001582;110.94
227;1.0000;0.0700;0.2400;-0.7500;0.111119;0.001552;110.94
228;1.0000;0.0700;0.2600;-0.7500;0.110519;0.001534;110.94
229;1.0000;0.0700;0.2800;-0.7500;0.110577;0.001527;110.94
230;1.0000;0.0800;0.1000;-0.7500;0.119522;0.001763;110.94
231;1.0000;0.0800;0.1200;-0.7500;0.120004;0.001754;110.94
232;1.0000;0.0800;0.1400;-0.7500;0.119645;0.001731;110.94
233;1.0000;0.0800;0.1600;-0.7500;0.117975;0.001695;110.94
234;1.0000;0.0800;0.1800;-0.7500;0.115391;0.001649;110.94
235;1.0000;0.0800;0.2000;-0.7500;0.114888;0.001634;110.94
236;1.0000;0.0800;0.2200;-0.7500;0.113935;0.001610;110.94
237;1.0000;0.0800;0.2400;-0.7500;0.112663;0.001586;110.94
238;1.0000;0.0800;0.2600;-0.7500;0.112657;0.001580;110.94
239;1.0000;0.0800;0.2800;-0.7500;0.112258;0.001555;110.94
240;1.0000;0.0900;0.1000;-0.7500;0.121886;0.001804;110.94
241;1.0000;0.0900;0.1200;-0.7500;0.122004;0.001798;110.94
242;1.0000;0.0900;0.1400;-0.7500;0.121510;0.001769;110.94
243;1.0000;0.0900;0.1600;-0.7500;0.120873;0.001743;110.94
244;1.0000;0.0900;0.1800;-0.7500;0.120160;0.001717;110.94
245;1.0000;0.0900;0.2000;-0.7500;0.116617;0.001672;110.94
246;1.0000;0.0900;0.2200;-0.7500;0.116475;0.001655;110.94
247;1.0000;0.0900;0.2400;-0.7500;0.115333;0.001631;110.94
248;1.0000;0.0900;0.2600;-0.7500;0.114124;0.001607;110.94
249;1.0000;0.0900;0.2800;-0.7500;0.115628;0.001605;110.94
250;1.0000;0.1000;0.1000;-0.7500;0.123325;0.001838;110.94
251;1.0000;0.1000;0.1200;-0.7500;0.125393;0.001838;110.94
252;1.0000;0.1000;0.1400;-0.7500;0.126059;0.001825;110.94
253;1.0000;0.1000;0.1600;-0.7500;0.124614;0.001793;110.94
254;1.0000;0.1000;0.1800;-0.7500;0.121829;0.001746;110.94
255;1.0000;0.1000;0.2000;-0.7500;0.121437;0.001727;110.94
256;1.0000;0.1000;0.2200;-0.7500;0.119703;0.001703;110.94
257;1.0000;0.1000;0.2400;-0.7500;0.117754;0.001674;110.94
258;1.0000;0.1000;0.2600;-0.7500;0.117878;0.001668;110.94
259;1.0000;0.1000;0.2800;-0.7500;0.117785;0.001650;110.94
260;1.0000;0.1100;0.1000;-0.7500;0.123780;0.001857;110.94
261;1.0000;0.1100;0.1200;-0.7500;0.125939;0.001865;110.94
